fiscal_year,Query_Run_Date,Customer,Majorcommandid,StartYearObligatedAmount,StartYearbaseandexercisedoptionsvalue,StartYearMaxOfbaseandalloptions,CountOfPIID,CountofModnumber,SumOfobligatedAmount,SumOfnumberOfActions
2013,59:26.2,Defense,NULL,Zero value,Zero value,Zero value,4683,6858,0,6870
2014,59:26.2,Defense,ORG-2882,$1 - <$5 million,Less than $250 thousand,Deobligation,1,2,3248046.125,2
2013,59:26.2,Defense,ORG-2781,Zero value,NULL,$5 - <$25 million,22,26,0,NULL
2009,59:26.2,Defense,ORG-2939,Zero value,NULL,$5 - <$25 million,31,44,0,NULL
2006,59:26.2,Defense,ORG-2875,Less than $250 thousand,$250 thousand - <$1 million,$1 - <$5 million,3,10,415257.75,10
2006,59:26.2,Defense,ORG-2876,Less than $250 thousand,$250 thousand - <$1 million,$250 thousand - <$1 million,93,188,6586147.49,190
2004,59:26.2,Defense,ORG-2835,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,1,1,371064,1
2011,59:26.2,Defense,ORG-2940,$1 - <$5 million,$1 - <$5 million,$25 - <$100 million,1,20,4020221.7,20
2013,59:26.2,Defense,NULL,$1 - <$5 million,$25 - <$100 million,$100 - <$500 million,1,2,1000000,4
2011,59:26.2,Defense,ORG-2936,$1 - <$5 million,$1 - <$5 million,Less than $250 thousand,15,121,35366226.29,137
2011,59:26.2,Defense,ORG-2941,$1 - <$5 million,$1 - <$5 million,Zero value,118,961,270339789.1,1231
2014,59:26.2,Defense,ORG-4774,Deobligation,Less than $250 thousand,Less than $250 thousand,7,19,-96233.2003,19
2009,59:26.2,Defense,ORG-2875,$5 - <$25 million,$1 - <$5 million,Zero value,1,2,5009886.96,2
2013,59:26.2,Defense,ORG-4774,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,1,5,777657.6562,5
2014,59:26.2,Defense,ORG-3960,Zero value,Zero value,Zero value,103,162,0,162
2008,59:26.2,Defense,ORG-2940,$1 - <$5 million,$1 - <$5 million,Deobligation,2,16,2583138,16
2009,59:26.2,Defense,ORG-2835,$1 - <$5 million,$1 - <$5 million,$5 - <$25 million,21,70,48015036.1,70
2009,59:26.2,Defense,ORG-2774,$5 - <$25 million,$5 - <$25 million,$5 - <$25 million,6,62,56156159.25,62
2002,59:26.2,Defense,ORG-2837,Less than $250 thousand,Zero value,Zero value,721,743,56436893,747
2014,59:26.2,Defense,ORG-2937,Zero value,Less than $250 thousand,Deobligation,2,2,0,2
2012,59:26.2,Defense,ORG-2941,$250 thousand - <$1 million,Less than $250 thousand,Deobligation,6,41,3292939.66,41
2014,59:26.2,Defense,ORG-2937,Zero value,NULL,$25 - <$100 million,61,156,0,NULL
2010,59:26.2,Defense,ORG-4955,Less than $250 thousand,$250 thousand - <$1 million,Deobligation,1,3,168696.6,3
2008,59:26.2,Defense,ORG-2843,Less than $250 thousand,$1 - <$5 million,$1 - <$5 million,3,8,241628.6,8
2008,59:26.2,Defense,ORG-2825,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,3976,6700,1961683098,7577
2005,59:26.2,Defense,ORG-2940,Less than $250 thousand,$1 - <$5 million,$5 - <$25 million,8,8,264197.79,8
2007,59:26.2,Defense,ORG-2869,$5 - <$25 million,$5 - <$25 million,$250 thousand - <$1 million,1,3,24661547,3
2001,59:26.2,Defense,ORG-2871,Deobligation,Zero value,Zero value,32,50,-75614669,50
2010,59:26.2,Defense,ORG-2791,Deobligation,Zero value,Zero value,66,71,-2133210.14,71
2013,59:26.2,Defense,ORG-2775,Less than $250 thousand,Less than $250 thousand,$1 - <$5 million,1,1,107451.3984,1
2009,59:26.2,Defense,ORG-2844,$250 thousand - <$1 million,$1 - <$5 million,$5 - <$25 million,1,2,619092,2
2013,59:26.2,Defense,ORG-2936,Zero value,Less than $250 thousand,Less than $250 thousand,15,21,0,21
2013,59:26.2,Defense,ORG-2944,Zero value,Zero value,Zero value,1658,2215,0,2220
2014,59:26.2,Defense,ORG-2834,$1 - <$5 million,$250 thousand - <$1 million,$250 thousand - <$1 million,5,30,8586901.33,36
2010,59:26.2,Defense,ORG-4955,Zero value,$250 thousand - <$1 million,$1 - <$5 million,1,1,0,1
2008,59:26.2,Defense,ORG-2778,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,1226,1226,19709854,1226
2005,59:26.2,Defense,ORG-2939,$5 - <$25 million,Zero value,Zero value,46,236,442549890,238
2013,59:26.2,Defense,ORG-2774,$250 thousand - <$1 million,$250 thousand - <$1 million,Deobligation,6,27,3566253.544,27
2014,59:26.2,Defense,ORG-2844,$250 thousand - <$1 million,$250 thousand - <$1 million,Deobligation,25,102,10333139.5,102
2007,59:26.2,Defense,NULL,Less than $250 thousand,$250 thousand - <$1 million,$250 thousand - <$1 million,51,98,7556430.14,98
2004,59:26.2,Defense,ORG-2841,$250 thousand - <$1 million,Zero value,Zero value,63,215,28340201,218
2008,59:26.2,Defense,ORG-2791,Zero value,NULL,$5 - <$25 million,6,7,0,NULL
2012,59:26.2,Defense,ORG-2869,Zero value,Deobligation,Deobligation,3,3,0,3
2008,59:26.2,Defense,ORG-2837,$5 - <$25 million,$5 - <$25 million,Less than $250 thousand,1,3,6407201,3
2012,59:26.2,Defense,ORG-4404,$250 thousand - <$1 million,Deobligation,Deobligation,1,4,409446,4
2014,59:26.2,Defense,ORG-2773,$250 thousand - <$1 million,$250 thousand - <$1 million,$1 - <$5 million,13,82,6498436.413,88
2002,59:26.2,Defense,ORG-2936,$250 thousand - <$1 million,Zero value,Zero value,1203,2135,594677599,2177
2014,59:26.2,Defense,ORG-2940,$25 - <$100 million,$25 - <$100 million,$5 - <$25 million,1,16,35706650.45,16
2014,59:26.2,Defense,ORG-2882,$25 - <$100 million,$250 thousand - <$1 million,$250 thousand - <$1 million,1,7,26546248.16,7
2010,59:26.2,Defense,ORG-2874,$250 thousand - <$1 million,Zero value,Zero value,3,4,1708787.16,4
2007,59:26.2,Defense,ORG-2844,Deobligation,Zero value,Zero value,566,694,-52333696.77,694
2002,59:26.2,Defense,NULL,Zero value,Zero value,Less than $250 thousand,1729,1729,0,1729
2014,59:26.2,Defense,ORG-2937,Zero value,NULL,$5 - <$25 million,72,145,0,NULL
2011,59:26.2,Defense,ORG-2880,Zero value,NULL,$5 - <$25 million,3,10,0,NULL
2008,59:26.2,Defense,ORG-2937,$5 - <$25 million,$1 - <$5 million,$1 - <$5 million,2,23,17849149.4,23
2013,59:26.2,Defense,ORG-4383,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,97,192,49652747.32,442
2013,59:26.2,Defense,ORG-2877,Zero value,$1 - <$5 million,Zero value,3,8,0,8
2011,59:26.2,Defense,ORG-2877,$1 - <$5 million,$25 - <$100 million,$100 - <$500 million,1,4,3540749.33,4
2010,59:26.2,Defense,ORG-4404,$1 - <$5 million,$1 - <$5 million,$250 thousand - <$1 million,3,10,6856224.52,10
2009,59:26.2,Defense,ORG-2872,$5 - <$25 million,Deobligation,Deobligation,3,20,27507680.9,20
2006,59:26.2,Defense,ORG-2775,Less than $250 thousand,$250 thousand - <$1 million,$250 thousand - <$1 million,2,3,210400,3
2014,59:26.2,Defense,ORG-2936,$250 thousand - <$1 million,$250 thousand - <$1 million,Less than $250 thousand,7,16,3341959.719,16
2008,59:26.2,Defense,ORG-2882,Less than $250 thousand,$250 thousand - <$1 million,Less than $250 thousand,1,3,172878.1,3
2008,59:26.2,Defense,ORG-2844,$1 - <$5 million,$1 - <$5 million,Deobligation,2,8,2996356.68,8
2012,59:26.2,Defense,ORG-2936,$5 - <$25 million,$1 - <$5 million,Zero value,1,12,5692537.05,12
2011,59:26.2,Defense,ORG-2944,Less than $250 thousand,$1 - <$5 million,$5 - <$25 million,1,1,132000,1
2014,59:26.2,Defense,ORG-2872,Less than $250 thousand,$250 thousand - <$1 million,Less than $250 thousand,1,1,249507.2813,1
2014,59:26.2,Defense,ORG-2877,$250 thousand - <$1 million,$1 - <$5 million,Less than $250 thousand,4,16,3765954.662,16
2013,59:26.2,Defense,ORG-4955,$5 - <$25 million,$5 - <$25 million,$1 - <$5 million,3,44,19390820.32,44
2008,59:26.2,Defense,ORG-2872,$25 - <$100 million,$25 - <$100 million,$250 thousand - <$1 million,1,7,59271200,7
2010,59:26.2,Defense,ORG-2875,Less than $250 thousand,Less than $250 thousand,Zero value,402,730,24957217.2,730
2006,59:26.2,Defense,ORG-2872,Zero value,$5 - <$25 million,$5 - <$25 million,8,8,0,8
2010,59:26.2,Defense,ORG-2825,$1 - <$5 million,$1 - <$5 million,Deobligation,10,50,17009563.21,56
2006,59:26.2,Defense,ORG-2775,Zero value,NULL,$100 - <$500 million,5,6,0,NULL
2006,59:26.2,Defense,ORG-2877,$5 - <$25 million,$5 - <$25 million,$5 - <$25 million,70,138,689615393.3,142
2008,59:26.2,Defense,NULL,Zero value,$100 - <$500 million,$100 - <$500 million,4,4,0,4
2009,59:26.2,Defense,ORG-2941,$250 thousand - <$1 million,Deobligation,Zero value,1,8,552918,8
2005,59:26.2,Defense,ORG-2844,$250 thousand - <$1 million,Zero value,Deobligation,1,4,318000,4
2014,59:26.2,Defense,ORG-2838,Zero value,NULL,$5 - <$25 million,3,4,0,NULL
2011,59:26.2,Defense,ORG-2936,Less than $250 thousand,Less than $250 thousand,$250 thousand - <$1 million,27,44,4169343.65,44
2010,59:26.2,Defense,ORG-2838,$5 - <$25 million,$5 - <$25 million,$5 - <$25 million,2,10,18871000,10
2011,59:26.2,Defense,ORG-2936,$25 - <$100 million,$25 - <$100 million,$25 - <$100 million,55,317,2534831299,317
2010,59:26.2,Defense,NULL,Deobligation,$100 - <$500 million,$100 - <$500 million,1,5,-10126084.29,5
2004,59:26.2,Defense,ORG-2843,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,3,4,1438527,4
2010,59:26.2,Defense,ORG-2825,$5 - <$25 million,Zero value,Zero value,93,1159,986987497.1,1164
2006,59:26.2,Defense,ORG-2786,$5 - <$25 million,$5 - <$25 million,$5 - <$25 million,3,3,31176726,3
2014,59:26.2,Defense,ORG-2872,$25 - <$100 million,$250 thousand - <$1 million,$250 thousand - <$1 million,2,25,87550288.43,25
2012,59:26.2,Defense,ORG-2774,$1 - <$5 million,$1 - <$5 million,$250 thousand - <$1 million,2,6,2678444.06,6
2012,59:26.2,Defense,ORG-2880,$250 thousand - <$1 million,$250 thousand - <$1 million,$5 - <$25 million,1,1,970920,1
2006,59:26.2,Defense,ORG-2875,Zero value,NULL,$25 - <$100 million,14,38,0,NULL
2011,59:26.2,Defense,ORG-2943,$250 thousand - <$1 million,$100 - <$500 million,$100 - <$500 million,1,1,478700.5,1
2002,59:26.2,Defense,ORG-2875,$5 - <$25 million,Zero value,Zero value,8,41,73098112,41
2007,59:26.2,Defense,ORG-2841,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,96,163,5890147,163
2012,59:26.2,Defense,ORG-2940,Deobligation,Zero value,Zero value,440,483,-10605352.87,483
2003,59:26.2,Defense,ORG-2837,Less than $250 thousand,Zero value,Zero value,1485,1538,117843109,1543
2013,59:26.2,Defense,ORG-2941,$250 thousand - <$1 million,$25 - <$100 million,$25 - <$100 million,1,1,545150,1
2011,59:26.2,Defense,ORG-2940,$1 - <$5 million,$1 - <$5 million,$5 - <$25 million,4,38,12716042.78,38
2007,59:26.2,Defense,ORG-2825,Less than $250 thousand,$1 - <$5 million,$5 - <$25 million,8,9,360411.17,9
2004,59:26.2,Defense,ORG-2944,$1 - <$5 million,$5 - <$25 million,Zero value,1,3,4160519,3
2014,59:26.2,Defense,ORG-2843,$250 thousand - <$1 million,$1 - <$5 million,$250 thousand - <$1 million,1,13,872947.3319,13
2013,59:26.2,Defense,ORG-2872,Less than $250 thousand,$250 thousand - <$1 million,$1 - <$5 million,1,1,160206.4063,1
2014,59:26.2,Defense,NULL,$1 - <$5 million,$1 - <$5 million,$100 - <$500 million,1,4,4714544.02,4
2013,59:26.2,Defense,ORG-2936,Greater than $500 million,$100 - <$500 million,$100 - <$500 million,2,90,4424495918,90
2009,59:26.2,Defense,ORG-2942,Zero value,NULL,Zero value,2,3,0,NULL
2006,59:26.2,Defense,ORG-2843,Zero value,NULL,$25 - <$100 million,1,2,0,NULL
2010,59:26.2,Defense,ORG-2880,$250 thousand - <$1 million,$1 - <$5 million,$5 - <$25 million,3,9,2344082.31,9
2014,59:26.2,Defense,ORG-4404,$250 thousand - <$1 million,Deobligation,Deobligation,2,8,848558.6251,8
2010,59:26.2,Defense,ORG-2943,Zero value,NULL,Less than $250 thousand,155,427,0,NULL
2010,59:26.2,Defense,ORG-2872,$25 - <$100 million,$5 - <$25 million,$5 - <$25 million,4,76,227712582.6,76
2008,59:26.2,Defense,ORG-2936,Deobligation,Deobligation,Deobligation,149,222,-12223278.42,225
2006,59:26.2,Defense,ORG-2943,Zero value,NULL,$5 - <$25 million,8,17,0,NULL
2007,59:26.2,Defense,ORG-2839,$1 - <$5 million,$1 - <$5 million,$5 - <$25 million,2,10,2793203,10
2007,59:26.2,Defense,ORG-2937,$250 thousand - <$1 million,$5 - <$25 million,$25 - <$100 million,4,7,2557496.44,11
2013,59:26.2,Defense,ORG-2936,$5 - <$25 million,$25 - <$100 million,$25 - <$100 million,2,16,34101648.63,19
2006,59:26.2,Defense,ORG-2944,Less than $250 thousand,Less than $250 thousand,$5 - <$25 million,1,1,88472,1
2013,59:26.2,Defense,ORG-2783,Zero value,NULL,Less than $250 thousand,357,361,0,NULL
2014,59:26.2,Defense,ORG-2825,Deobligation,Zero value,Zero value,297,400,-45798629.14,418
2006,59:26.2,Defense,ORG-2940,Less than $250 thousand,Less than $250 thousand,Deobligation,1,2,11792.54,2
2011,59:26.2,Defense,ORG-2939,$1 - <$5 million,Zero value,Zero value,1,2,1012344,2
2006,59:26.2,Defense,NULL,Zero value,NULL,$1 - <$5 million,36,43,0,NULL
2008,59:26.2,Defense,ORG-2825,$100 - <$500 million,$25 - <$100 million,$25 - <$100 million,1,13,121285992,13
2011,59:26.2,Defense,ORG-2877,Zero value,Zero value,Deobligation,18,36,0,36
2013,59:26.2,Defense,ORG-2844,Zero value,Less than $250 thousand,Zero value,2,3,0,3
2006,59:26.2,Defense,ORG-2837,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,1,2,1912909,2
2005,59:26.2,Defense,ORG-2878,Less than $250 thousand,Zero value,Zero value,274,362,7784212,362
2013,59:26.2,Defense,ORG-2871,$250 thousand - <$1 million,$5 - <$25 million,Less than $250 thousand,1,6,539583,6
2009,59:26.2,Defense,ORG-2844,Zero value,Zero value,Deobligation,1,1,0,1
2010,59:26.2,Defense,ORG-2825,$250 thousand - <$1 million,$25 - <$100 million,$25 - <$100 million,2,9,1073973.67,10
2014,59:26.2,Defense,ORG-2937,$1 - <$5 million,Zero value,Zero value,15,67,28911188.67,67
2007,59:26.2,Defense,ORG-2777,Deobligation,Deobligation,Deobligation,52,66,-285637.55,66
2008,59:26.2,Defense,ORG-2877,$5 - <$25 million,$5 - <$25 million,Deobligation,13,120,143948966.8,120
2005,59:26.2,Defense,ORG-2775,$250 thousand - <$1 million,Zero value,$250 thousand - <$1 million,39,39,22058863,39
2002,59:26.2,Defense,ORG-2871,$1 - <$5 million,Zero value,Zero value,140,723,317430425,723
2009,59:26.2,Defense,ORG-2882,Zero value,$5 - <$25 million,$100 - <$500 million,1,1,0,1
2005,59:26.2,Defense,ORG-2876,$25 - <$100 million,$25 - <$100 million,$25 - <$100 million,1,1,68095091,1
2006,59:26.2,Defense,NULL,$250 thousand - <$1 million,Zero value,Zero value,2174,3704,1123533725,3706
2004,59:26.2,Defense,ORG-2869,$250 thousand - <$1 million,$250 thousand - <$1 million,Less than $250 thousand,1,1,444300,1
2010,59:26.2,Defense,ORG-2784,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,57053,61116,1014279277,61131
2004,59:26.2,Defense,ORG-2876,Less than $250 thousand,$250 thousand - <$1 million,$250 thousand - <$1 million,2,5,218728,5
2010,59:26.2,Defense,NULL,$1 - <$5 million,$1 - <$5 million,$25 - <$100 million,9,28,32273703.75,28
2006,59:26.2,Defense,ORG-2834,Less than $250 thousand,Less than $250 thousand,$250 thousand - <$1 million,1,3,166587,3
2010,59:26.2,Defense,ORG-2936,$5 - <$25 million,$1 - <$5 million,$250 thousand - <$1 million,1,5,6287184.75,6
2007,59:26.2,Defense,ORG-2944,$1 - <$5 million,$5 - <$25 million,$25 - <$100 million,11,51,18338599.93,58
2010,59:26.2,Defense,NULL,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,3074,5125,1559108787,6964
2013,59:26.2,Defense,ORG-2882,$5 - <$25 million,$5 - <$25 million,$250 thousand - <$1 million,3,8,22250414.81,8
2008,59:26.2,Defense,ORG-2937,Zero value,NULL,$5 - <$25 million,85,180,0,NULL
2012,59:26.2,Defense,NULL,$1 - <$5 million,$250 thousand - <$1 million,Deobligation,9,49,12616012.9,49
2010,59:26.2,Defense,NULL,$5 - <$25 million,$5 - <$25 million,Zero value,24,79,201157080.3,79
2013,59:26.2,Defense,ORG-2825,$250 thousand - <$1 million,$1 - <$5 million,Less than $250 thousand,4,20,3398924.795,21
2003,59:26.2,Defense,ORG-2936,Zero value,Zero value,$25 - <$100 million,13,13,0,13
2011,59:26.2,Defense,ORG-2871,$250 thousand - <$1 million,$1 - <$5 million,$5 - <$25 million,3,7,1674250,7
2012,59:26.2,Defense,ORG-2825,Zero value,$25 - <$100 million,$25 - <$100 million,4,4,0,8
2008,59:26.2,Defense,ORG-2876,Zero value,Zero value,Zero value,7349,10727,0,10734
2010,59:26.2,Defense,ORG-4955,Deobligation,Zero value,Zero value,24,28,-506203.29,28
2003,59:26.2,Defense,ORG-2877,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,1,3,561043.83,3
2006,59:26.2,Defense,ORG-2837,Deobligation,Zero value,Zero value,190,256,-4082839.63,258
2011,59:26.2,Defense,ORG-2791,Zero value,$250 thousand - <$1 million,$250 thousand - <$1 million,1,1,0,1
2006,59:26.2,Defense,ORG-2843,Zero value,NULL,Less than $250 thousand,5,5,0,NULL
2012,59:26.2,Defense,ORG-2877,$25 - <$100 million,$1 - <$5 million,$5 - <$25 million,1,7,75418779.97,7
2009,59:26.2,Defense,ORG-2836,$25 - <$100 million,$25 - <$100 million,$25 - <$100 million,5,6,282389205.4,6
2004,59:26.2,Defense,ORG-2941,$25 - <$100 million,Zero value,Zero value,61,1825,2930035324,1833
2011,59:26.2,Defense,ORG-2786,Zero value,NULL,$1 - <$5 million,68,81,0,NULL
2014,59:26.2,Defense,ORG-2941,$1 - <$5 million,$1 - <$5 million,Deobligation,28,148,62172345.9,171
2004,59:26.2,Defense,ORG-2941,$5 - <$25 million,$5 - <$25 million,$25 - <$100 million,2,4,21092658,6
2009,59:26.2,Defense,ORG-2869,$250 thousand - <$1 million,$250 thousand - <$1 million,Less than $250 thousand,18,52,8285131.52,52
2007,59:26.2,Defense,NULL,Less than $250 thousand,$5 - <$25 million,$5 - <$25 million,3,4,351436.35,4
2008,59:26.2,Defense,ORG-2842,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,1592,1916,65321653.56,1932
2013,59:26.2,Defense,ORG-2941,Zero value,$5 - <$25 million,$25 - <$100 million,1,2,0,2
2002,59:26.2,Defense,ORG-2941,Greater than $500 million,Zero value,Zero value,5,69,4566200162,69
2009,59:26.2,Defense,ORG-2825,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,297,806,183846393.1,1023
2013,59:26.2,Defense,ORG-2871,Deobligation,Deobligation,Deobligation,47,66,-3822496.898,66
2002,59:26.2,Defense,ORG-2941,$25 - <$100 million,Zero value,Zero value,56,2600,2696089755,2735
2014,59:26.2,Defense,ORG-2941,Deobligation,Less than $250 thousand,Less than $250 thousand,2,2,-93643.2031,2
2013,59:26.2,Defense,ORG-2941,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,88,214,52559038.14,214
2011,59:26.2,Defense,ORG-2944,$25 - <$100 million,Zero value,Zero value,1,24,78936752.03,24
2012,59:26.2,Defense,ORG-2943,Zero value,NULL,$25 - <$100 million,8,34,0,NULL
2007,59:26.2,Defense,ORG-2871,$1 - <$5 million,Less than $250 thousand,Less than $250 thousand,3,13,4684476,13
2008,59:26.2,Defense,ORG-2882,Zero value,NULL,$5 - <$25 million,4,18,0,NULL
2012,59:26.2,Defense,ORG-2837,$250 thousand - <$1 million,$250 thousand - <$1 million,Deobligation,6,26,2739891.57,26
2011,59:26.2,Defense,ORG-2939,Zero value,NULL,$5 - <$25 million,5,11,0,NULL
2013,59:26.2,Defense,NULL,$25 - <$100 million,$25 - <$100 million,Deobligation,7,81,309074301.2,81
2011,59:26.2,Defense,ORG-2783,Zero value,NULL,$1 - <$5 million,51,54,0,NULL
2008,59:26.2,Defense,ORG-2825,$1 - <$5 million,$1 - <$5 million,Less than $250 thousand,13,68,20043298.08,73
2008,59:26.2,Defense,ORG-2871,$1 - <$5 million,Deobligation,Deobligation,1,10,2143379.34,10
2005,59:26.2,Defense,ORG-2839,Deobligation,Zero value,Zero value,91,142,-3160346,142
2009,59:26.2,Defense,ORG-2941,Less than $250 thousand,Less than $250 thousand,Zero value,178,311,11826121.36,311
2013,59:26.2,Defense,ORG-2871,$25 - <$100 million,Zero value,Zero value,1,13,64370068,13
2007,59:26.2,Defense,ORG-2877,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,2069,4375,4717446386,4673
2008,59:26.2,Defense,ORG-2874,$25 - <$100 million,$25 - <$100 million,$25 - <$100 million,48,107,2053720091,107
2010,59:26.2,Defense,ORG-2875,$1 - <$5 million,$1 - <$5 million,$5 - <$25 million,7,10,16211680.78,10
2012,59:26.2,Defense,ORG-3960,$250 thousand - <$1 million,$1 - <$5 million,$5 - <$25 million,3,10,2042487.57,10
2009,59:26.2,Defense,ORG-2936,Less than $250 thousand,$250 thousand - <$1 million,$1 - <$5 million,5,10,929136.69,10
2014,59:26.2,Defense,ORG-2835,Less than $250 thousand,$5 - <$25 million,$5 - <$25 million,1,1,8560,1
2011,59:26.2,Defense,ORG-2937,$5 - <$25 million,$5 - <$25 million,$100 - <$500 million,1,6,9618606.86,6
2009,59:26.2,Defense,ORG-2835,$1 - <$5 million,$1 - <$5 million,$250 thousand - <$1 million,11,49,18191531.14,49
2003,59:26.2,Defense,ORG-2871,$5 - <$25 million,Zero value,Zero value,65,604,597870893,604
2009,59:26.2,Defense,ORG-2835,$5 - <$25 million,$1 - <$5 million,$250 thousand - <$1 million,1,10,6008189.61,10
2011,59:26.2,Defense,ORG-2841,$1 - <$5 million,$1 - <$5 million,$5 - <$25 million,1,3,1521552,3
2014,59:26.2,Defense,NULL,Greater than $500 million,$100 - <$500 million,$100 - <$500 million,1,81,731825532.2,81
2013,59:26.2,Defense,ORG-2872,Zero value,Zero value,Zero value,4242,5657,0,5681
2012,59:26.2,Defense,ORG-2825,Deobligation,Less than $250 thousand,Less than $250 thousand,5,9,-37169.26,12
2007,59:26.2,Defense,ORG-2845,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,9,26,5191033.17,26
2010,59:26.2,Defense,ORG-2877,Less than $250 thousand,Deobligation,Deobligation,174,455,7023077.72,455
2007,59:26.2,Defense,ORG-2838,Less than $250 thousand,Deobligation,Deobligation,1,3,9000,3
2001,59:26.2,Defense,ORG-2875,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,9,11,62477,11
2011,59:26.2,Defense,ORG-2774,$5 - <$25 million,Zero value,Zero value,1,19,23645012.44,19
2010,59:26.2,Defense,ORG-2874,$5 - <$25 million,Deobligation,Deobligation,1,17,9124765.52,17
2010,59:26.2,Defense,ORG-2882,Zero value,Deobligation,Deobligation,2,4,0,4
2008,59:26.2,Defense,ORG-2877,Zero value,NULL,Less than $250 thousand,153,258,0,NULL
2011,59:26.2,Defense,ORG-2843,Deobligation,$250 thousand - <$1 million,Zero value,1,2,-29953.33,2
2006,59:26.2,Defense,ORG-2872,$1 - <$5 million,$5 - <$25 million,$5 - <$25 million,7,14,17363521.91,14
2014,59:26.2,Defense,ORG-2773,Zero value,NULL,Zero value,13,41,0,NULL
2007,59:26.2,Defense,ORG-2841,Zero value,NULL,Deobligation,1,1,0,NULL
2009,59:26.2,Defense,ORG-2869,Deobligation,Deobligation,Deobligation,1348,1587,-26284198.24,1594
2013,59:26.2,Defense,ORG-2936,Less than $250 thousand,Less than $250 thousand,$250 thousand - <$1 million,27,33,4329619.193,33
2014,59:26.2,Defense,ORG-2872,Deobligation,Deobligation,Deobligation,4981,6831,-1085922421,6846
2011,59:26.2,Defense,ORG-2940,Less than $250 thousand,$250 thousand - <$1 million,$250 thousand - <$1 million,15,32,1821326.24,32
2013,59:26.2,Defense,ORG-2939,Zero value,Deobligation,Deobligation,1,3,0,3
2012,59:26.2,Defense,ORG-2941,$5 - <$25 million,$25 - <$100 million,Greater than $500 million,4,25,46135339,44
2011,59:26.2,Defense,ORG-2844,$1 - <$5 million,Less than $250 thousand,$250 thousand - <$1 million,1,7,1715779.02,7
2007,59:26.2,Defense,ORG-2787,Zero value,NULL,Zero value,83,83,0,NULL
2010,59:26.2,Defense,ORG-2936,$250 thousand - <$1 million,$250 thousand - <$1 million,Less than $250 thousand,7,20,3073315.69,21
2011,59:26.2,Defense,ORG-2937,Zero value,NULL,$250 thousand - <$1 million,112,208,0,NULL
2012,59:26.2,Defense,ORG-4404,$1 - <$5 million,$1 - <$5 million,$250 thousand - <$1 million,4,22,12653554.38,22
2011,59:26.2,Defense,ORG-2839,$250 thousand - <$1 million,$250 thousand - <$1 million,Deobligation,3,14,1472016.8,14
2010,59:26.2,Defense,NULL,Zero value,$5 - <$25 million,$5 - <$25 million,2,2,0,2
2010,59:26.2,Defense,ORG-2877,$1 - <$5 million,$250 thousand - <$1 million,$1 - <$5 million,1,5,1346849.98,5
2012,59:26.2,Defense,ORG-2941,$250 thousand - <$1 million,$1 - <$5 million,Deobligation,4,31,2291426,32
2007,59:26.2,Defense,ORG-2791,Zero value,NULL,$5 - <$25 million,2,2,0,NULL
2004,59:26.2,Defense,ORG-2944,$250 thousand - <$1 million,$5 - <$25 million,$5 - <$25 million,1,2,729660,2
2009,59:26.2,Defense,ORG-2872,Zero value,NULL,$250 thousand - <$1 million,163,315,0,NULL
2014,59:26.2,Defense,ORG-2845,Zero value,$250 thousand - <$1 million,Deobligation,1,4,0,4
2006,59:26.2,Defense,NULL,Zero value,$1 - <$5 million,Zero value,1,1,0,1
2013,59:26.2,Defense,NULL,Zero value,$1 - <$5 million,Zero value,2,3,0,3
2011,59:26.2,Defense,ORG-2872,$5 - <$25 million,Deobligation,Deobligation,5,45,41712141.76,45
2008,59:26.2,Defense,ORG-2837,$250 thousand - <$1 million,$250 thousand - <$1 million,Less than $250 thousand,3,12,1250832.8,12
2007,59:26.2,Defense,ORG-2877,$1 - <$5 million,$100 - <$500 million,$100 - <$500 million,1,2,2045000,2
2011,59:26.2,Defense,ORG-2844,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,399,739,188502972.6,1032
2001,59:26.2,Defense,ORG-2945,$250 thousand - <$1 million,Zero value,Zero value,463,864,222898779,879
2009,59:26.2,Defense,ORG-2871,Zero value,Less than $250 thousand,Less than $250 thousand,8,10,0,10
2008,59:26.2,Defense,ORG-2944,$5 - <$25 million,$5 - <$25 million,$25 - <$100 million,6,39,48040202.01,47
2013,59:26.2,Defense,ORG-2871,$1 - <$5 million,$5 - <$25 million,$1 - <$5 million,1,12,3218407.04,12
2014,59:26.2,Defense,ORG-2787,Zero value,NULL,Zero value,2793,3046,0,NULL
